Linha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
513,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7
634,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3
756,2,2,2,2,2,3,3,3,4,4,3,3,2,2,2,0,0,0,0,0,0,0,0,0
635,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
878,14,10,8,8,10,19,21,22,29,27,27,27,23,24,24,20,22,22,23,27,21,19,16,14
636,17,12,7,8,14,32,46,50,51,52,52,51,51,46,45,44,48,51,51,48,37,37,30,24
759,5,5,4,4,4,1,1,1,1,1,1,3,4,4,4,0,0,0,0,0,0,0,0,0
638,30,6,5,6,14,25,33,37,37,41,38,41,39,41,41,40,40,40,40,40,39,39,38,40
639,34,32,33,18,12,25,33,39,39,39,42,40,40,40,39,38,38,39,39,36,37,38,37,38
880,24,25,25,13,9,23,32,35,35,34,33,32,32,31,30,30,33,33,34,34,31,29,29,26
884,18,19,18,19,19,19,20,20,22,22,21,22,22,25,23,0,0,0,0,0,0,0,0,0
885,6,6,6,6,5,6,6,6,6,6,6,6,6,5,5,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,7,13,15,15,15,15,15,15,15,15,15,15,15,16,15,15,15,15,15
886,1,0,0,0,3,7,8,8,8,8,8,8,8,8,8,3,0,0,0,7,8,8,5,4
402,0,0,0,0,1,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
766,12,4,1,2,4,13,18,18,18,17,17,18,20,19,19,18,21,19,18,20,19,18,16,13
887,5,1,0,0,1,6,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,7
525,8,8,7,5,6,9,10,12,12,12,12,11,11,11,10,11,11,11,11,10,10,10,11,9
404,2,3,3,3,3,3,8,8,8,2,0,0,0,1,1,1,3,4,6,5,6,7,7,7
405,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3
769,7,8,8,8,8,8,8,8,8,8,7,7,7,7,7,0,0,0,0,0,0,0,0,0
409,26,28,33,33,34,36,37,39,38,36,39,39,39,40,40,40,40,39,39,39,39,40,40,37
2295,14,14,14,8,5,9,13,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11
770,10,7,6,0,4,9,13,15,15,15,14,13,13,14,13,0,0,0,0,0,0,0,0,0
771,12,10,7,0,3,12,13,17,16,14,14,14,15,16,13,0,0,0,0,0,0,0,0,0
650,10,9,9,9,22,27,28,28,27,26,28,30,32,31,30,28,27,28,29,28,28,28,27,29
892,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
651,16,13,15,15,15,15,15,21,21,21,21,21,21,21,21,21,21,21,24,22,17,17,16,16
652,18,17,17,17,18,18,18,22,20,19,19,19,19,19,19,19,19,19,22,20,20,20,20,19
410,27,27,27,27,27,27,29,29,37,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
773,20,20,19,21,24,26,28,27,26,26,26,26,25,26,28,26,26,26,23,23,23,23,23,21
894,0,0,0,0,0,1,2,3,0,3,3,0,1,2,1,0,0,0,0,0,0,0,0,0
895,1,1,1,0,1,1,1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
653,11,10,11,12,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,12
774,3,3,3,2,3,13,17,22,21,21,21,21,20,21,20,18,17,16,15,14,13,11,6,5
411,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8
775,3,3,3,3,2,6,6,9,8,7,7,7,7,7,7,8,8,7,7,7,7,7,6,3
413,0,0,0,0,0,17,21,21,21,21,21,21,21,21,21,21,21,21,24,23,23,23,23,22
898,18,18,12,7,16,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0
535,13,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
777,0,0,0,0,0,0,7,8,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,43,43,43,43,43,43,41,37,37,37,37,37,36,36,36,36,44,43,37,36,36,36,36,38
778,40,34,36,40,39,41,42,37,37,37,37,36,37,37,37,37,37,36,36,35,35,35,34,35
779,12,10,9,9,12,12,13,16,17,16,17,18,18,16,16,19,16,16,14,14,13,11,10,11
416,6,6,6,7,6,7,7,7,8,8,5,4,4,3,3,3,3,3,3,3,2,2,3,1
537,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,2
538,15,12,10,9,13,21,21,23,22,22,22,22,22,22,21,20,19,19,18,19,19,18,16,14
539,6,5,6,6,6,15,17,18,16,19,19,19,19,19,19,19,19,19,18,18,18,17,17,16
781,7,6,5,5,8,7,8,8,9,9,10,10,10,10,9,8,8,8,7,6,6,6,6,6
782,13,12,10,11,11,5,5,6,6,10,10,10,10,11,12,13,14,15,15,16,16,16,16,16
661,0,0,0,0,0,0,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2
783,4,3,4,4,4,1,1,2,1,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
420,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,3,3,4,7,4,1,1,1
662,0,0,0,0,0,0,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
300,12,11,11,9,5,9,10,9,9,9,11,10,10,7,8,0,0,0,0,0,0,0,0,0
663,5,5,4,4,2,1,2,2,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
421,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0
784,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
301,28,29,28,27,28,30,34,32,31,29,27,28,28,28,30,29,29,26,26,26,26,26,26,24
422,33,31,30,31,31,32,31,31,40,38,37,37,37,37,37,37,37,36,37,37,37,37,36,37
423,7,7,7,6,1,2,3,5,5,7,7,6,5,5,6,6,8,7,6,6,10,13,13,12
786,5,0,0,2,3,10,16,17,17,17,18,19,22,21,20,0,0,0,0,0,0,0,0,0
665,33,34,32,37,32,36,43,38,39,38,36,38,41,39,38,39,40,40,30,32,34,33,30,30
302,17,17,17,17,17,17,20,20,21,23,23,23,23,23,25,23,24,25,24,24,24,24,24,23
303,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667,2,2,2,2,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,8,8
425,5,5,5,6,5,3,4,4,5,4,4,3,5,3,3,5,5,5,4,5,6,5,6,6
305,2,2,2,2,2,2,3,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
426,0,0,0,0,0,20,28,28,28,28,27,27,27,27,29,28,28,31,31,31,31,30,31,30
548,9,8,8,8,7,8,7,7,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,9
669,25,25,28,31,32,32,32,31,32,32,32,32,32,32,32,31,31,34,35,34,34,34,34,33
306,7,2,1,2,3,10,14,14,13,13,13,13,15,14,15,14,14,13,13,14,14,12,13,10
309,5,4,4,8,20,26,21,20,18,20,19,17,21,17,19,18,19,20,19,19,12,17,16,11
SV389,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,11,9,5,1,3,9,9,10,10,10,10,10,10,11,11,0,0,0,0,0,0,0,0,0
550,18,12,16,16,19,29,41,57,62,62,52,45,44,43,37,12,2,0,0,42,49,56,48,39
793,7,7,7,7,11,13,16,18,14,15,15,16,15,15,16,13,14,15,14,14,15,15,12,8
310,3,3,3,2,1,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
673,9,9,9,9,1,9,11,5,6,7,8,8
